DAY & DATE,TIME,LEVEL ,COURSE CODE, COURSE TITLE,NO. OF STDS,SEATS,VENUE,FACULTY,DEPARTMENT ,INVIG,,,,,,
"Tuesday, April 7, 2026",10:00 -12:00,400 PHS,PHS 472,PUBLIC HEALTH ECONOMICS & FINANCING,760,681-END,LBA,FEHE,PHE,,, ,,,, 
"Tuesday, April 7, 2026",10:00 -12:00,200 PHS,PHS 231 ,COMMUNITY HEALTH,410,HP - 001-140,SPTS COM,FEHE,PHE,,,, ,,,
"Tuesday, April 7, 2026",10:00 -12:00,200 PHS,PHS 231 ,COMMUNITY HEALTH,410,HP - 141-,GYM ,FEHE,PHE,,,,,,,
"Tuesday, April 7, 2026",10:00 -12:00,200 PHS,PHS 231 ,COMMUNITY HEALTH,410,END,,FEHE,PHE, ,,,,, ,
"Tuesday, April 7, 2026",13:00 -15:00,300 PHS,PHS 355,EPIDEMIOLOGICAL METHODS,1200,001-100,NLB 1,FEHE,PHE, ,,,,,,
"Tuesday, April 7, 2026",13:00 -15:00,300 PHS,PHS 355,EPIDEMIOLOGICAL METHODS,1200,101-200,NLB 2,FEHE,PHE, ,,,,,,
"Tuesday, April 7, 2026",13:00 -15:00,300 PHS,PHS 355,EPIDEMIOLOGICAL METHODS,1200,201-300,NLB 3,FEHE,PHE, ,,,,,,
"Tuesday, April 7, 2026",13:00 -15:00,300 PHS,PHS 355,EPIDEMIOLOGICAL METHODS,1200,301-400,NLB 4,FEHE,PHE, ,,,,,,
"Tuesday, April 7, 2026",13:00 -15:00,300 PHS,PHS 355,EPIDEMIOLOGICAL METHODS,1200,401-500,,FEHE,PHE,,,,,,,
"Tuesday, April 7, 2026",13:00 -15:00,300 PHS,PHS 355,EPIDEMIOLOGICAL METHODS,1200,501-600,SPTS COM,FEHE,PHE,,,,,,,
"Tuesday, April 7, 2026",13:00 -15:00,300 PHS,PHS 355,EPIDEMIOLOGICAL METHODS,1200,601-700,CHAPEL,FEHE,PHE,, ,,,,,
"Tuesday, April 7, 2026",13:00 -15:00,300 PHS,PHS 355,EPIDEMIOLOGICAL METHODS,1200,701-800,OLD LIB,FEHE,PHE,, ,,,,,
"Tuesday, April 7, 2026",13:00 -15:00,300 PHS,PHS 355,EPIDEMIOLOGICAL METHODS,1200,801-900,LBFF,FEHE,PHE,,,,,,,
"Tuesday, April 7, 2026",13:00 -15:00,300 PHS,PHS 355,EPIDEMIOLOGICAL METHODS,1200,,LBSF,FEHE,PHE,,,,,,,
"Tuesday, April 7, 2026",13:00 -15:00,300 PHS,PHS 355,EPIDEMIOLOGICAL METHODS,1200,901-1050,NLT,FEHE,PHE,,,,,,,
"Tuesday, April 7, 2026",13:00 -15:00,300 PHS,PHS 355,EPIDEMIOLOGICAL METHODS,1200,1051-1150,OLD LAB,FEHE,PHE,,,,,,,
"Tuesday, April 7, 2026",13:00 -15:00,300 PHS,PHS 355,EPIDEMIOLOGICAL METHODS,1200,1151-END,SLT HSE 1,FEHE,PHE,,,,,,,
"Tuesday, April 7, 2026",13:00 -15:00,300 OHS,OHS 351,SAFETY FOR DISASTER MANAGEMENT AND EMERGENCY RESPONSE,70,001-END,SLT HSE 2,FEHE,PHE,,,,,,,
"Wednesday, April 8, 2026",07:00-09:00,200 EHS,EHP 231,PRINCIPLES OF HOUSING AND BUILDING CONSTRUCTION,240,001-140,SPT COMP,FEHE,PHE,,,,,,,
"Wednesday, April 8, 2026",07:00-09:00,200 EHS,EHP 231,PRINCIPLES OF HOUSING AND BUILDING CONSTRUCTION,240,141-END,OLD LAB,FEHE,PHE,,,,,,,
"Wednesday, April 8, 2026",07:00-09:00,400 OHS,OHS 475,WORKPLACE SAFETY AUDIT INSPECTION AND MONITORING,45,001-END,GYM,FEHE,PHE,,,,,,,
"Wednesday, April 8, 2026",13:00 -15:00,200 OHS,OHS 232,ERGONOMICS,300,001-140,SPTS COM,FEHE,PHE,,,,,,,
"Wednesday, April 8, 2026",13:00 -15:00,200 OHS,OHS 232,ERGONOMICS,300,141-240,OLD LAB,FEHE,PHE,,,,,,,
"Wednesday, April 8, 2026",13:00 -15:00,200 OHS,OHS 232,ERGONOMICS,300,241-END,SLTHSE 1,FEHE,PHE,,,,,,,
"Wednesday, April 8, 2026",13:00 -15:00,300ENG ,EDC 351,GUIDANCE & COUNSELLING ,80,001 - END ,LBA ,FEHE,DES,,,,,,,
"Wednesday, April 8, 2026",13:00 -15:00,300SC ,EDC 351 ,GUIDANCE & COUNSELLING ,131,001-100 ,NLB 1 ,FEHE,DES,,,,,,,
"Wednesday, April 8, 2026",13:00 -15:00,300SC ,EDC 351,GUIDANCE & COUNSELLING ,131,101-END ,NLB2 ,FEHE,DES,,,,,,,
"Wednesday, April 8, 2026",13:00 -15:00,300PHY ,EDC 351,GUIDANCE & COUNSELLING ,35,001-END ,NLB 2 ,FEHE,DES,,,,,,,
"Wednesday, April 8, 2026",13:00 -15:00,300CHE ,EDC 351,GUIDANCE & COUNSELLING ,40,001-END ,NLB2 ,FEHE,DES,,,,,,,
"Wednesday, April 8, 2026",13:00 -15:00,300BIO ,EDC 351,GUIDANCE & COUNSELLING ,140,001-120 ,NLB 3 ,FEHE,DES,,,,,,,
"Wednesday, April 8, 2026",13:00 -15:00,300BIO ,EDC 351,GUIDANCE & COUNSELLING ,140,121-END ,NLB 3 ,FEHE,DES,,,,,,,
