DAY & DATE,TIME,LEVEL,COURSE CODE, COURSE TITLE,NO. OF STDS,SEATS,VENUE,FACULTY,DEPARTMENT ,INVIG
"Friday,  April 10, 2026",07:00-09:00,400 OHS,OHS 477,CONSTRUCTION SAFETY,45,001-END,SLT HSE1,FEHE,PHE,
"Friday,  April 10, 2026",07:00-09:00,200 BIO,BSE 231,GENETICS AND EVOLUTION,187,001-090,NLB 2,FSE,,
"Friday,  April 10, 2026",07:00-09:00,200 BIO,BSE 231,GENETICS AND EVOLUTION,187,091-END,NLB 3,FSE,,
"Friday,  April 10, 2026",07:00-09:00,100 AGR ,AGR111,AGRIC CHEMISTRY ,155,001-END,NLT,FAE,,
"Friday,  April 10, 2026",07:00-09:00,100 BED, GAG111,INTO TO CHEMISTRY AND BIOCHEM IN AGRIC,80,001-END,LBFF,FEGS,,
"Friday,  April 10, 2026",07:00-09:00,100 NRM,NRM113,INTRODUCTION TO WOOD SCIENCE,95,001-END,LBSF,FAE,,
"Friday,  April 10, 2026",07:00-09:00,100 ABM,AGB113,SOIL CONSERVATION & FARM MECHANISATION,60,001-END,LBA,FAE,,
"Friday,  April 10, 2026",07:00-09:00,100 ATI,MATD112,Calculus,4,001-END,LBA TOP,FAE,,
"Friday,  April 10, 2026",07:00-09:00,400 ABM,AGB472   ,International trade and policies for agribusiness   ,60,001-END,LBR,FAE,,
"Friday,  April 10, 2026",10:00–12:00,100 OHS,OHS 113,INTODUCRION TO OCCUPATIONAL HEALTH,298,001-140,SPTS COM,FEHE,PHE,
"Friday,  April 10, 2026",10:00–12:00,100 OHS,OHS 113,INTODUCRION TO OCCUPATIONAL HEALTH,298,141-190,GYM,FEHE,PHE,
"Friday,  April 10, 2026",10:00–12:00,100 OHS,OHS 113,INTODUCRION TO OCCUPATIONAL HEALTH,298,191-END,OLD LAB,FEHE,PHE,
"Friday,  April 10, 2026",10:00–12:00,200 CHE,EHS241 ,WATER QUALITY AND ANALYSIS,42,001-END,EXT 1,FSE,,
"Friday,  April 10, 2026",10:00–12:00,100 JHS ,JBL 113 ,Introduction to Language and Literacy ,300,001-100,OLD LIB,FEGS,,
"Friday,  April 10, 2026",10:00–12:00,100 JHS ,JBL 113 ,Introduction to Language and Literacy ,300,101-200,LBSF,FEGS,,
"Friday,  April 10, 2026",10:00–12:00,100 JHS ,JBL 113 ,Introduction to Language and Literacy ,300,201-END,LBFF,FEGS,,
"Friday,  April 10, 2026",10:00–12:00,100 UP ,PBLi 111 ,Introduction to Language and Literacy ,60,001-END,EXT 2,FEGS,,
"Friday,  April 10, 2026",10:00–12:00,100 EG ,ECP 113 ,Introduction to Language and Literacy ,80,001-END,CHAPEL,FEGS,,
"Friday,  April 10, 2026",10:00–12:00,"100 Diploma ,EG, UP & JHS",GDC 112 ,Modern English Language and Literature ,160,001-END,NLT,FEGS,,
"Friday,  April 10, 2026",10:00–12:00,100 ENG ,ENG 112 ,Modern English Structure and Usage ,75,,LBA,FEGS,,
"Friday,  April 10, 2026",10:00–12:00,100 PEH ,PEH 113 ,Teaching Athletics (Track and Field) ,32, ,LT3,,,
"Friday,  April 10, 2026",10:00–12:00,100 GHA ,LIT 111 ,Introduction to Literature ,30,,LT3,FEGS,,
"Friday,  April 10, 2026",10:00–12:00,100 FRE ,FRE 112 ,Oral Expression I ,5,,LT3,FEGS,,
"Friday,  April 10, 2026",10:00–12:00,100 MAT,MAT 111,ALGEBRA,60,001-END,NLB 1,FSE,,
"Friday,  April 10, 2026",10:00–12:00,100 BIO ,BBE 112, PHYSICAL CHEMISTRY,100,001-END,NLB 2,FSE,,
"Friday,  April 10, 2026",10:00–12:00,100 SC,GSC 112,MORPH. & DIVERSITY OF LIVING THINGS,80,001-END,NLB 4,FSE,,
"Friday,  April 10, 2026",10:00–12:00,100 PHY,MAT 111,ALGEBRA I,45,001-END,NLB 1,FEHE,PHE,
"Friday,  April 10, 2026",10:00–12:00,200 NUD,NUD 235,PUBLIC HEALTH NUTRITION,35,001-END,NLB 3,,,
"Friday,  April 10, 2026",10:00–12:00,100 CHE,CHEM113,MATHEMATICS FOR CHEMISTS,25,001-END,NLB 3,FSE,,
"Friday,  April 10, 2026",10:00–12:00,100 NUT,NUD 111,DIVERSITY OF LIFE,41,001-END,NLB 3,FSE,,
"Friday,  April 10, 2026",13:00-15:00,200 EHS,EHP 234,STATS AND BIOMETRY,240,001-140,SPTS COM,FEHE,EHSE,
"Friday,  April 10, 2026",13:00-15:00,200 EHS,EHP 234,STATS AND BIOMETRY,240,141-END,OLD LAB,FEHE,EHSE,
"Friday,  April 10, 2026",13:00-15:00,300 EHS,EHP 352,"WASTEWATER TREATMENT, REUSE AND",129,001-080,SLT HSE 2,FEHE,EHSE,
"Friday,  April 10, 2026",13:00-15:00,300 EHS,EHP 352,"WASTEWATER TREATMENT, REUSE AND",129,081-END,SLT HSE 1,FEHE,EHSE,
"Friday,  April 10, 2026",13:00-15:00,300 ATI ,ATI 353,Innovations in Agro-processing and Preservation Techniques ,9,001-END,LBA TOP,FAE,,
"Friday,  April 10, 2026",13:00-15:00,200 JHS ,JBP 232,"Differentiated Planning, Learning and Multimedia Use ",450,001-100,CHAPEL,FEGS,,
"Friday,  April 10, 2026",13:00-15:00,200 JHS ,JBP 232,"Differentiated Planning, Learning and Multimedia Use ",450,101-200,OLD LIB,FEGS,,
"Friday,  April 10, 2026",13:00-15:00,200 JHS ,JBP 232,"Differentiated Planning, Learning and Multimedia Use ",450,201-300,LBFF,FEGS,,
"Friday,  April 10, 2026",13:00-15:00,200 JHS ,JBP 232,"Differentiated Planning, Learning and Multimedia Use ",450,301-END,NLT,FEGS,,
"Friday,  April 10, 2026",13:00-15:00,200 UP ,JBP 232,"Differentiated Planning, Learning for Upper Primary",70,,EXT 1,FEGS,,
"Friday,  April 10, 2026",13:00-15:00,200 EG ,ECP 232,"Differentiated Planning, Learning for Early Grade",90,,LT3,FEGS,,
"Friday,  April 10, 2026",13:00-15:00,300 BIO,BSE 351,POPULATION GENETICS,140,001-090,NLB 1,FSE,BIO,
"Friday,  April 10, 2026",13:00-15:00,300 BIO,BSE 351,POPULATION GENETICS,140,091-END,NLB 2,FSE,BIO,
"Friday,  April 10, 2026",13:00-15:00,300 CHE ,CHE 353,ENVIRONMENTAL CHEMISTRY,35,001-END,NLB 2,FSE,CHE,
"Friday,  April 10, 2026",13:00-15:00,200 SCI,ISC 233,BASIC SOIL SCIENCE,120,001-070,NLB 4,FSE,,
"Friday,  April 10, 2026",13:00-15:00,200 SCI,ISC 233,BASIC SOIL SCIENCE,120,071-END,NLB 3,FSE,,
"Friday,  April 10, 2026",16:00-18:00,200 OHS,OHS 236,CLIMATE CHANGE & PUBLIC HEALTH,298,001-140,SPTS COM,FEHE,PHE,
"Friday,  April 10, 2026",16:00-18:00,200 OHS,OHS 236,CLIMATE CHANGE & PUBLIC HEALTH,298,141-260,OLD LAB,FEHE,PHE,
"Friday,  April 10, 2026",16:00-18:00,200 OHS,OHS 236,CLIMATE CHANGE & PUBLIC HEALTH,298,261-END,GYM,FEHE,PHE,
"Friday,  April 10, 2026",16:00-18:00,300 NRM ,NRM351 ,NATURAL RESOURCES ECONOMICS   ,55,001-END,LGF1,FAE,,
"Friday,  April 10, 2026",16:00-18:00,300 AGR ,AGR357 ,DOMESTIC ANIMAL BEHAVIOUR  ,175,,LBFF,FAE,,
"Friday,  April 10, 2026",16:00-18:00,300 AGR ,AGR358 ,AGRIC. MECH.,175,,LBSF,FAE,,
"Friday,  April 10, 2026",16:00-18:00,300 AGR ,AGR359 ,FORESTRY AND WILDLIFE CONSERVATION,175,,,FAE,,
"Friday,  April 10, 2026",16:00-18:00,300 AGR ,AGR359E ,PROJECT APPRAISAL ,175,,,FAE,,
"Friday,  April 10, 2026",16:00-18:00,300 SC,ISC 351,PRINCIPLES OF GENETICS & EVOLUTION,135,001-070,NLB 1,FSE,,
"Friday,  April 10, 2026",16:00-18:00,300 SC,ISC 351,PRINCIPLES OF GENETICS & EVOLUTION,135,071-END,NLB 2,FSE,,
"Friday,  April 10, 2026",16:00-18:00,300 MAT,PMT 352,PCK IN GEOMETRY,96,001-END,NLB 3,FSE,,
"Friday,  April 10, 2026",16:00-18:00,300 PHY ,PHY 351,SPECIAL THEORY OF RELATIVITY,35,001-END,NLB 4,FEHE,PHE,
"Friday,  April 10, 2026",16:00-18:00,200 PHY ,MATP231,VECTORS,45,001-END,NLB 4,FEHE,PHE,
"Friday,  April 10, 2026",16:00-18:00,300 JHS ,JBSo 351 ,Environmental and Social Issues in Contemporary Ghana ,185,001-090,CHAPEL,FEGS,,
"Friday,  April 10, 2026",16:00-18:00,300 JHS ,JBSo 351 ,Environmental and Social Issues in Contemporary Ghana ,185,091-END,LT3,FEGS,,
"Friday,  April 10, 2026",16:00-18:00,300 JHS , JBIn 351 ,Energy and Force Fields ,,ALL,EXT 2,FEGS,,
"Friday,  April 10, 2026",16:00-18:00,300 UP ,PBPm 351 ,"Sports, PE, Music and Dance in Local and Global Cultures ",44,001-end,EXT 1,FEGS,,
"Friday,  April 10, 2026",16:00-18:00,300 EG ,ECMu 358 ,"Sports, PE, Music and Dance in Local and Global Cultures ",92,001-END,OLD LIB,FEGS,,
"Friday,  April 10, 2026",16:00-18:00,300 ENG ,ENG 352 ,English Language Teaching ,30,001-END,NLT,FEGS,ENG,
